Meta Mode,yakindumm
Number of Edge types,5
Number Of Nodes,29
OutDegreeValue,0,1,2,3,8,9
OutDegreeCount,7,4,12,4,1,1
NAValue,1,3,4,5
NACount,9,6,10,4
MPCValue,0.00000,0.76531,0.80000,0.83333,0.93750,0.96939,1.00000
MPCCount,9,1,1,4,10,3,1
