Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,29
OutDegreeValue,0,1,2,3,5,8
OutDegreeCount,11,4,10,1,2,1
NAValue,1,2,3,4,5
NACount,13,2,4,7,3
MPCValue,0.00000,0.33333,0.60000,0.76800,0.80000,0.86400,0.90000,0.96000
MPCCount,13,1,1,1,3,1,6,3
