Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,29
OutDegreeValue,0,1,2,5,8
OutDegreeCount,9,5,12,2,1
NAValue,1,3,4,5
NACount,12,5,8,4
MPCValue,0.00000,0.80000,0.90000,0.96000
MPCCount,12,5,8,4
