Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,29
OutDegreeValue,0,1,2,3,4,8
OutDegreeCount,7,6,9,4,2,1
NAValue,1,2,3,4,5
NACount,8,5,4,9,3
MPCValue,0.00000,0.45000,0.53333,0.60000,0.80000,0.86400,0.90000,0.93061,0.94815
MPCCount,8,2,1,2,4,1,8,1,2
