Meta Mode,yakindumm
Number of Edge types,5
Number Of Nodes,29
OutDegreeValue,0,1,2,3,4,6,7,11
OutDegreeCount,7,2,15,1,1,1,1,1
NAValue,1,3,4,5
NACount,9,3,12,5
MPCValue,0.00000,0.80000,0.83333,0.92222,0.93750,0.94675,0.96939,1.00000
MPCCount,9,1,2,1,12,1,1,2
