Meta Mode,yakindumm
Number of Edge types,5
Number Of Nodes,29
OutDegreeValue,0,1,2,3,4,5,9
OutDegreeCount,6,7,12,1,1,1,1
NAValue,0,1,3,4,5
NACount,1,8,8,9,3
MPCValue,0.00000,0.76531,0.83333,0.93750,0.98765,1.00000
MPCCount,8,1,7,9,1,2
