Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,29
OutDegreeValue,0,2,3,5,7,8
OutDegreeCount,9,14,3,1,1,1
NAValue,0,1,2,3,4,5,6
NACount,1,9,2,1,11,3,2
MPCValue,0.00000,0.33333,0.53333,0.76800,0.90000,0.91875,0.93061,0.96000,1.00000
MPCCount,9,1,1,1,11,1,2,1,1
