Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,29
OutDegreeValue,0,1,2,3,5,6,10
OutDegreeCount,5,8,10,3,1,1,1
NAValue,1,2,3,4,5,6
NACount,6,3,6,11,2,1
MPCValue,0.00000,0.45000,0.60000,0.80000,0.86400,0.90000,0.93061,0.93223,0.96667
MPCCount,6,1,2,6,1,10,1,1,1
