Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,29
OutDegreeValue,0,1,2,3,4,5
OutDegreeCount,6,5,12,4,1,1
NAValue,0,1,2,3,4,5
NACount,1,7,3,7,9,2
MPCValue,0.00000,0.38400,0.45000,0.53333,0.76800,0.80000,0.90000,0.93061
MPCCount,7,1,1,1,2,5,9,2
