Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,29
OutDegreeValue,0,1,2,3,5,7,8
OutDegreeCount,11,6,8,1,1,1,1
NAValue,1,2,3,4,5
NACount,13,3,4,7,2
MPCValue,0.00000,0.26250,0.60000,0.76800,0.80000,0.86250,0.90000,0.93061,0.96000
MPCCount,13,1,2,1,3,1,6,1,1
