Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,29
OutDegreeValue,0,1,2,4,6,8
OutDegreeCount,10,7,7,3,1,1
NAValue,1,2,3,4,5
NACount,13,1,6,7,2
MPCValue,0.00000,0.60000,0.80000,0.90000,0.94815
MPCCount,13,1,6,7,2
