Meta Mode,yakindumm
Number of Edge types,5
Number Of Nodes,29
OutDegreeValue,0,1,2,5,6,7
OutDegreeCount,14,6,6,1,1,1
NAValue,0,1,3,4
NACount,1,17,7,4
MPCValue,0.00000,0.80000,0.83333,0.93750
MPCCount,17,1,6,4
