Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,29
OutDegreeValue,0,1,2,3,7,9
OutDegreeCount,7,2,15,3,1,1
NAValue,1,2,3,4,5
NACount,9,2,5,10,3
MPCValue,0.00000,0.45000,0.53333,0.76800,0.80000,0.90000,0.92800,0.93061,0.96000
MPCCount,9,1,1,3,2,10,1,1,1
