Meta Mode,yakindumm
Number of Edge types,5
Number Of Nodes,29
OutDegreeValue,0,1,2,3,5
OutDegreeCount,12,5,7,3,2
NAValue,1,3,4,5
NACount,18,4,5,2
MPCValue,0.00000,0.83333,0.93750,0.96939
MPCCount,18,4,5,2
