Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,29
OutDegreeValue,0,1,2,3,4,5
OutDegreeCount,8,7,7,3,3,1
NAValue,0,1,2,3,4,5
NACount,1,9,3,6,8,2
MPCValue,0.00000,0.38400,0.45000,0.60000,0.80000,0.90000,0.93061,0.94815
MPCCount,9,1,1,1,7,7,1,1
