Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,29
OutDegreeValue,0,1,2,3,4,6,9
OutDegreeCount,5,5,13,2,2,1,1
NAValue,1,2,3,4,5
NACount,7,1,8,11,2
MPCValue,0.00000,0.60000,0.71111,0.73469,0.76800,0.80000,0.88889,0.90000,0.93061
MPCCount,7,1,1,1,2,4,1,11,1
