Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,29
OutDegreeValue,0,1,2,3,4,6
OutDegreeCount,7,1,17,1,1,2
NAValue,1,2,3,4,5
NACount,9,2,4,10,4
MPCValue,0.00000,0.53333,0.76800,0.80000,0.86400,0.90000,0.94815,0.96000
MPCCount,9,2,3,1,1,9,1,3
