Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,29
OutDegreeValue,0,1,2,3,4
OutDegreeCount,9,5,9,3,3
NAValue,1,2,3,4,5
NACount,12,4,3,8,2
MPCValue,0.00000,0.45000,0.53333,0.60000,0.80000,0.86667,0.90000,0.94815,0.96000
MPCCount,12,1,1,2,3,1,7,1,1
