Meta Mode,yakindumm
Number of Edge types,5
Number Of Nodes,29
OutDegreeValue,0,1,2,3,4,10
OutDegreeCount,2,2,16,7,1,1
NAValue,1,3,4,5
NACount,4,5,14,6
MPCValue,0.00000,0.76531,0.80000,0.83333,0.93750,0.96939,0.98765
MPCCount,4,1,2,2,14,5,1
