Meta Mode,yakindumm
Number of Edge types,5
Number Of Nodes,29
OutDegreeValue,0,1,2,3,4,5,6,7,9
OutDegreeCount,3,2,17,1,1,2,1,1,1
NAValue,1,3,4,5
NACount,5,3,16,5
MPCValue,0.00000,0.76531,0.83333,0.92222,0.93750,0.94675,0.97107,0.98765
MPCCount,5,1,2,1,16,1,2,1
