Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,29
OutDegreeValue,0,1,2,3,4,6
OutDegreeCount,8,5,10,2,2,2
NAValue,1,2,3,4,5
NACount,10,2,6,9,2
MPCValue,0.00000,0.29388,0.60000,0.73469,0.76800,0.80000,0.86400,0.88889,0.90000,0.96000
MPCCount,10,1,1,1,1,4,1,1,8,1
