Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,29
OutDegreeValue,0,1,2,3,4,5,7
OutDegreeCount,7,6,10,1,3,1,1
NAValue,1,2,3,4,5
NACount,10,1,6,10,2
MPCValue,0.00000,0.45000,0.80000,0.90000,0.92800,0.94815
MPCCount,10,1,6,10,1,1
