Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,29
OutDegreeValue,0,1,2,4,8
OutDegreeCount,12,7,7,1,2
NAValue,1,3,4
NACount,15,8,6
MPCValue,0.00000,0.76800,0.80000,0.90000
MPCCount,15,1,7,6
