Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,29
OutDegreeValue,0,1,2,3,4,5,6,10
OutDegreeCount,9,3,12,1,1,1,1,1
NAValue,1,2,3,4,5,6
NACount,10,2,5,9,1,2
MPCValue,0.00000,0.38400,0.53333,0.73469,0.76800,0.80000,0.90000,0.95207,0.96000,0.98400
MPCCount,10,1,1,1,1,3,9,1,1,1
