Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,29
OutDegreeValue,0,1,2,3,4,5,7,9
OutDegreeCount,2,3,17,1,1,3,1,1
NAValue,1,3,4,5,6
NACount,4,3,16,5,1
MPCValue,0.00000,0.76800,0.80000,0.85289,0.90000,0.93061,0.93223,0.94286,0.94815
MPCCount,4,1,2,2,16,1,1,1,1
