Meta Mode,yakindumm
Number of Edge types,5
Number Of Nodes,29
OutDegreeValue,0,1,2,3,5,6
OutDegreeCount,9,4,10,2,2,2
NAValue,1,3,4,5
NACount,13,4,9,3
MPCValue,0.00000,0.72314,0.83333,0.88843,0.93750,0.96939,1.00000
MPCCount,13,1,3,1,9,1,1
