Meta Mode,yakindumm
Number of Edge types,5
Number Of Nodes,29
OutDegreeValue,1,2,3,4,5,8
OutDegreeCount,4,18,2,2,2,1
NAValue,1,3,4,5
NACount,2,6,15,6
MPCValue,0.00000,0.80000,0.83333,0.88843,0.92593,0.93750,0.96939,0.97107,1.00000
MPCCount,2,2,4,1,1,15,2,1,1
