Meta Mode,yakindumm
Number of Edge types,5
Number Of Nodes,29
OutDegreeValue,0,1,2,3,5,8
OutDegreeCount,9,5,11,2,1,1
NAValue,1,3,4,5
NACount,13,8,7,1
MPCValue,0.00000,0.80000,0.83333,0.93750,0.96939
MPCCount,13,3,5,7,1
