Meta Mode,yakindumm
Number of Edge types,5
Number Of Nodes,29
OutDegreeValue,0,1,2,3,5,6,8
OutDegreeCount,7,7,9,3,1,1,1
NAValue,1,3,4,5
NACount,10,7,9,3
MPCValue,0.00000,0.83333,0.93750,0.96939,0.97107
MPCCount,10,7,9,2,1
