Meta Mode,yakindumm
Number of Edge types,5
Number Of Nodes,29
OutDegreeValue,0,1,2,4,5,7,8,10
OutDegreeCount,8,3,13,1,1,1,1,1
NAValue,1,3,4,5
NACount,10,4,12,3
MPCValue,0.00000,0.80000,0.81315,0.83333,0.93750,0.96667,0.98765
MPCCount,10,1,1,3,12,1,1
