Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,29
OutDegreeValue,0,1,2,3,4,5,8
OutDegreeCount,5,10,10,1,1,1,1
NAValue,0,1,2,3,4,5
NACount,1,6,1,11,9,1
MPCValue,0.00000,0.38400,0.76800,0.80000,0.90000,0.93061
MPCCount,6,1,1,10,9,1
