Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,29
OutDegreeValue,0,1,2,3,4,5
OutDegreeCount,13,5,7,2,1,1
NAValue,0,1,2,3,4,5
NACount,1,15,5,4,3,1
MPCValue,0.00000,0.45000,0.53333,0.60000,0.80000,0.90000,0.96000
MPCCount,15,1,3,1,4,3,1
