Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,29
OutDegreeValue,0,1,2,3,4,5,6,7
OutDegreeCount,3,4,16,1,2,1,1,1
NAValue,1,2,3,4,5,6
NACount,6,1,4,13,4,1
MPCValue,0.00000,0.60000,0.76800,0.80000,0.90000,0.90888,0.93061,0.93223,0.94815,0.97500
MPCCount,6,1,1,3,13,1,1,1,1,1
