Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,29
OutDegreeValue,0,1,2,3,4,5,6,10
OutDegreeCount,9,7,8,1,1,1,1,1
NAValue,1,2,3,4,5,6
NACount,11,2,5,8,2,1
MPCValue,0.00000,0.38400,0.60000,0.80000,0.85289,0.90000,0.93061,0.96000
MPCCount,11,1,1,5,1,8,1,1
