Meta Mode,yakindumm
Number of Edge types,5
Number Of Nodes,29
OutDegreeValue,0,1,2,3,4,6,11
OutDegreeCount,7,3,15,1,1,1,1
NAValue,1,3,4,5
NACount,9,7,10,3
MPCValue,0.00000,0.76531,0.80000,0.83333,0.93750,0.98765,1.00000
MPCCount,9,1,3,3,10,1,2
