Meta Mode,yakindumm
Number of Edge types,5
Number Of Nodes,29
OutDegreeValue,0,1,2,3,5,12
OutDegreeCount,5,5,14,3,1,1
NAValue,1,3,4,5
NACount,8,5,11,5
MPCValue,0.00000,0.80000,0.83333,0.93750,0.96939,0.97107,1.00000
MPCCount,8,1,4,11,3,1,1
