Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,29
OutDegreeValue,0,1,2,3,4,5
OutDegreeCount,8,8,8,2,2,1
NAValue,1,2,3,4,5,6
NACount,12,4,4,7,1,1
MPCValue,0.00000,0.53333,0.60000,0.80000,0.86667,0.90000,0.93061,0.97778
MPCCount,12,1,3,4,1,6,1,1
