Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,29
OutDegreeValue,0,1,2,3,4,5,8
OutDegreeCount,5,9,9,2,2,1,1
NAValue,1,2,3,4,5,6
NACount,7,1,9,9,2,1
MPCValue,0.00000,0.38400,0.80000,0.90000,0.93061,0.97778
MPCCount,7,1,9,9,2,1
