Meta Mode,yakindumm
Number of Edge types,5
Number Of Nodes,29
OutDegreeValue,0,1,2,3,4,5,8,12
OutDegreeCount,3,1,19,1,1,2,1,1
NAValue,1,3,4,5
NACount,4,2,16,7
MPCValue,0.00000,0.80000,0.83333,0.92593,0.93750,0.95156,0.96939,0.97107,1.00000
MPCCount,4,1,1,1,16,1,1,2,2
