Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,29
OutDegreeValue,0,1,2,3,4,9
OutDegreeCount,12,3,10,2,1,1
NAValue,1,2,3,4,5
NACount,14,3,2,8,2
MPCValue,0.00000,0.38400,0.53333,0.60000,0.80000,0.86400,0.90000,0.93061,0.96000
MPCCount,14,1,1,1,2,1,7,1,1
