Meta Mode,yakindumm
Number of Edge types,6
Number Of Nodes,29
OutDegreeValue,0,1,2,3,6,8
OutDegreeCount,10,5,9,3,1,1
NAValue,0,1,2,3,4,5
NACount,1,12,1,4,8,3
MPCValue,0.00000,0.60000,0.80000,0.90000,0.93061
MPCCount,12,1,4,8,3
